,url,article
0,https://drinkyoro.com,"We're interrupting your routine of dragging through the day and relying on stimulants to stay in the flow. When you pick up a can, you're choosing your state of being with our all-natural, 15 calorie drink that actually tastes good. Never ride the wave. Be the wave."
1,https://drinkyoro.com/blogs/news,"Skip to content
What is Yoro?
The Flavors
The Flavors
Surge
Surf
Shop
Shop
Buy Yoro
Fitness Gear
About Us
Wholesale
FAQ
Find A Store
Log in
What is Yoro?
The Flavors
Surge
Surf
Shop
Buy Yoro
Fitness Gear
About Us
Wholesale
FAQ
Find A Store
Search
Log in
Cart
Item added to your cart
Check out
Continue shopping
News
Choosing a selection results in a full page refresh."
2,https://drinkyoro.com/collections/all-products,"Filter:
4 products
The highest price is $60.00"
3,https://drinkyoro.com/collections/buy-yoro,"Filter:
4 products
The highest price is $60.00"
4,https://drinkyoro.com/collections/gear,"Filter:
2 products
The highest price is $51.00"
5,https://drinkyoro.com/collections/main-collection,"Filter:
4 products
The highest price is $60.00"
6,https://drinkyoro.com/collections/surf,"Filter:
2 products
The highest price is $60.00"
7,https://drinkyoro.com/collections/surge,"Filter:
2 products
The highest price is $60.00"
8,https://drinkyoro.com/collections/test,0 products
9,https://drinkyoro.com/collections/wholesale,"Filter:
2 products
The highest price is $60.00"
10,https://drinkyoro.com/collections/yoro-yoga-set,"Filter:
6 products
The highest price is $55.00"
11,https://drinkyoro.com/pages/about-us,"What is Yoro
Yoro is more than just your typical functional beverage. More than just a drink filled with antioxidants and adaptogens. Yoro was explicitly crafted to help you tap into your specific need-state. No artificial flavors. All-Natural.
You're probably asking yourself, ""What exactly is a need-state? For the sake of simplicity, Yoro allows you to pursue a feeling. We're interrupting the routine of people just dragging through the day and feeling out of control rather than tapping into their mood. How you're starting your day, how you're getting through it, and how you end it. When you pick up a can, you're choosing your state of being.
Never ride the wave. Be the wave.
You're probably asking yourself, ""What exactly is a need-state? For the sake of simplicity, Yoro allows you to pursue a feeling. We're interrupting the routine of people just dragging through the day and feeling out of control rather than tapping into their mood. How you're starting your day, how you're getting through it, and how you end it. When you pick up a can, you're choosing your state of being.
Never ride the wave. Be the wave."
12,https://drinkyoro.com/pages/about-us-1,"The Legend of Yoro
After undergoing a spiritual awakening during wine harvest in California in 2016, CEO, Robert Haynes made a pilgrimage to Gifu, Japan to signify the start of his new life. He was adviser by his mentor and kickboxing coach to visit, where he experienced Yoro Falls’ mystic healing abilities himself. Haynes wanted to share the same feeling with the world and empower them to adapt to the ebbs and flows of everyday life by Being The Wave.
Our Purpose
We exist to empower people to take control of their health & wellness, so that they can create the tidal wave of change for a healthier, happier world.
Robert Haynes
Robert Haynes is the Chief Executive Officer and Co-Founder of Cadera Brands, where he oversees Sales, Strategy, Manufacturing, and Operations for all of Cadera Brand’s offerings. With 15 years in the food and beverage arena, he has leveraged his experience in beverage production, product development, import/export relations, product placement, buyer psychology, and distribution sales.
Implementing his experience, entrepreneurship and love of beverage, he created Yoro in his office in New Orleans to bring to scale for production. Our goal was to allow the world to adapt to the ebbs and flows of everyday life and his personal experience with nootropics is a testament to its power.
Robert brings his expertise in consumer goods development, sales and manufacturing, where he continues to push Cadera Brands to be an innovative Health & Wellness company of the future. With contributing his personal values of consistency, quality, and education, he has taken an aggressive stance in his studies of Eastern Medicine, which reflects in Cadera’s offerings to day.
Michael Olaiya
Michael Olaiya is the Co-founder and Chief Development Officer (CDO) at Cadera Brands, Inc. Michael is responsible for overseeing Clinical Research, Product Development and the implementation of both clinical and observational studies through interdisciplinary collaborations. With over 10 years in healthcare, Michael has devoted his time towards the advancement, development and awareness of sustainable, holistic wellness products.
Prior to co-founding Cadera, Michael served as a Market Health & Wellness Director for Walmart Co. As a company leader, he was responsible for developing external partnerships and marketing strategies that led to the largest sales growth and revenue for expanded immunizations in the Southeastern Division. Michael’s mission for Cadera Brands is to lead transformational, need-driven research that ensures the safe, efficacious and quality assurance of innovative, holistic wellness products for the future."
13,https://drinkyoro.com/pages/contact-us,"Contact Us
Send us a message via the contact form if you'd like to get in touch with us electronically.
If you'd like to get in contact with us by mail, please send all correspondence to:
Cadera Brands Inc.
1100 Peachtree Street NE
Suite 250
Atlanta, GA 30309"
14,https://drinkyoro.com/pages/faq,"FAQ
About Yoro
What are the varieties of Yoro?
Two delicious flavors: Guava Passionfruit and Pineapple Ginger, made with all-natural ingredients and premium plant extracts. We’re working around the clock on other flavors to launch later! If you have any ideas or flavors you’d like to see in the future, don’t hesitate to reach out!
What is the shelf life of Yoro?
Unopened, each can last up to 12 months depending on whether or not they’ve been stored properly at room temperature. Please reference the expiry date on the bottom of your can.
I want to sell Yoro at my business. Do you have a wholesale program?
Yes. Email us at wholesale@drinkyoro.com with the following information and we will get in touch with you promptly: Contact name, name of the business, address of the business, phone number, and email address.
Where can I purchase Yoro?
As of now, right here on our website. We plan to roll out to select retailers across the country over the next few months.
Do I need to be 21 years of age to drink Yoro?
The short answer is no. While we encourage people of all ages (excluding babies and young children) to enjoy our drinks, we suggest speaking with your physician if you have any concerns.
Ingredients and Nutritional Information
Is Yoro all natural?
Yes, we use just a few simple ingredients. Yoro doesn’t contain any artificial ingredients, nor any preservatives!
What are natural flavors?
A blend of tastes and flavoring constituents derived from all natural products that provide Yoro’s distinct taste and character. Yoro contains no artificial flavors, dyes or synthetic ingredients.
Why do you use natural flavors?
Artificial flavors are made from non-food sources. By using natural flavors, we are able to source consumable elements found in nature that are essential for health and wellness.
What don’t you include in Yoro beverages?
No added sugar. No dairy. No gluten. No soy. No artificial flavors, colors, preservatives, or fillers. In summary, we do our best to keep out all of the bad stuff.
How much sugar is in Yoro?
There’s only one gram of sugar in each 12oz serving of Yoro, so you can drink away without feeling any guilt. Many functional beverages including energy drinks are loaded with added sugars and other harmful ingredients that aren’t good for your overall well-being.
How many calories are in a serving?
Fortunately, there are only 15 calories in each 12oz can of Yoro. The great taste is there, but without the caloric impact, that one would normally expect from similar drinks that pack a lot of flavor.
Does Yoro need to be refrigerated?
While we think Yoro tastes great over ice or fresh out the fridge, this is simply our personal preference. If not stored in the fridge, keep your product in a cool, dry place. Try to keep away direct sunlight or extreme heat such as hot cars.
How long can I enjoy Yoro after opening?
Yoro is carbonated so it will eventually lose its fizz after being opened for a period of time. We do recommend drinking it right away once opened, but you can refrigerate it and it will stay good for up to 5 days in a closed container. Our spidey senses tell us that it won’t be too long before you’re drinking another one.
What are adaptogens?
Natural substances, usually in the form of an herb or nutrient, that helps the body adapt to various stressors. Adaptogens stimulate immunity and help the body provide resistance to diseases.
When should I drink Yoro?
Whether you’re on the road traveling, studying for an exam, at work, hanging with friends, or staying in to pair with a cocktail of your choice - we think Yoro is perfect for almost any occasion.
Shipping
Do you offer free shipping?
Yes, on all orders over $100.
When will my order arrive?
We do our best to ensure that in-stock orders are shipped out the next business day. Once your order leaves the facility, you can expect your delivery within 3-5 business days.
How do I track my order?
As soon as your order ships, we’ll send you a shipping confirmation email with your UPS tracking ID number. If you have an account with us, you can also find your tracking ID number in the Order History section of My Account.
You can click on the link in your shipping confirmation email, or copy and paste your tracking ID number into the UPS Tracking Page to locate your package.
Shipping to a PO box? Copy and paste your tracking ID number into the USPS Tracking Page.
If you’re having trouble locating your package, our team is happy to help. Email us at support@drinkyoro.com
Where do you ship?
We currently only ship to customers in the United States.
Exchanges and Returns
I’d like to return my Yoro purchase. What now?
If for any reason you aren’t happy with your purchase, please reach out to us at support@drinkyoro.com. Our customer happiness team will be more than happy to either issue a refund or replace your purchase altogether. Please note that returns or exchange requests must be made within 30 days of your delivery date. Additionally, there must be no more than 2 cans missing from your order.
What do I do if my shipment is defective/damaged?
Our products undergo thorough quality assurance procedures to ensure they live up to both our standards and yours. However, if you find a damaged or defective product upon receiving your shipment that doesn't meet your expectations, please send us a photo of the defect so that we can assess the situation and prevent it from happening again. We will either replace your purchase or issue you a full refund, whichever you prefer.
Subscriptions
What products can I subscribe to? Which products are available for auto-delivery?
All of our products are available on subscription, with the option to receive a new order every 30 days."
15,https://drinkyoro.com/pages/find-a-store,Be the first to know about new collections and exclusive offers.
16,https://drinkyoro.com/pages/store-locator,"Skip to content
What is Yoro?
The Flavors
The Flavors
Surge
Surf
Shop
Shop
Buy Yoro
Fitness Gear
About Us
Wholesale
FAQ
Find A Store
Log in
What is Yoro?
The Flavors
Surge
Surf
Shop
Buy Yoro
Fitness Gear
About Us
Wholesale
FAQ
Find A Store
Search
Log in
Cart
Item added to your cart
Check out
Continue shopping
Store Locator
Loading store locator from
Stockist store locator
...
Choosing a selection results in a full page refresh."
17,https://drinkyoro.com/pages/surf,"What does Surf do?
Surf carries you through the lulls of everyday routines so you can change the current instead of just treading water. Our refreshing Pineapple Ginger flavor provides the perfect blend of sweet and spice delivering an invigorating zing to your day-to-day.
Formulated with Rhodiola root extract and B12 to restore energy mid-day while boosting clarity and mood."
18,https://drinkyoro.com/pages/surge,"What does Surge do?
Surge is our Guava Passionfruit flavored energy blend. It's the jolt you need when navigating the still waters of life. It's the perfect way to put the wind in your sails. We formulated Surge with Panax Ginseng and Guarana to energize you without giving you the jitters. Caffeine and sugar free."
19,https://drinkyoro.com/pages/wholesale,"Yoro Wholesale Program
Interested in purchasing Yoro in bulk for your business? Apply to become a wholesaler!
Benefits
Wholesale Pricing
Order with special pricing and low order minimums.
Free Shipping
Spend $100 or more and we'll cover your shipping costs.
Dedicated Support Team
Priority support for all wholesalers.
Sales and Merchandising
Drive more sales and ensure your customers can easily find their new favorite beverage."
20,https://drinkyoro.com/pages/wholesale-lead-form,"Skip to content
What is Yoro?
The Flavors
The Flavors
Surge
Surf
Shop
Shop
Buy Yoro
Fitness Gear
About Us
Wholesale
FAQ
Find A Store
Log in
What is Yoro?
The Flavors
Surge
Surf
Shop
Buy Yoro
Fitness Gear
About Us
Wholesale
FAQ
Find A Store
Search
Log in
Cart
Item added to your cart
Check out
Continue shopping
Find Us In Store!
Choosing a selection results in a full page refresh."
21,https://drinkyoro.com/products/guava-passionfruit-surge-24pk-12-fl-oz-cans,"Surge is the jolt you need when navigating the still waters of life. It's the perfect way to put the wind in your sails. Our Guava Passionfruit flavor is where the energy of the Caribbean and the spirit of Latin America come together to disrupt everyday monotony.
- One 24-pack of 12 fluid ounce cans
- Sparkling Flavored Water with Guava Passionfruit Flavor
- Only 15 calories per serving
- 1 gram of sugar per serving
- Free of artificial sweeteners"
22,https://drinkyoro.com/products/longline-sports-bra,"This sports bra is the perfect workout top for exercising. The compression fabric along with double-layered front and shoulder straps ensures great support while running, jumping, or pumping iron. Wear it while exercising or style it as a streetwear top on sunny days!
Size guide
|XS||S||M||L||XL||2XL||3XL|
|Chest (inches)||33 ⅛||34 ⅝||36 ¼||39 ⅜||42 ½||45 ⅝||48 ⅞|
|Waist (inches)||25 ¼||26 ¾||28 ⅜||31 ½||34 ⅝||37 ¾||41|
|Hips (inches)||90||94||98||106||114||122||130|
Surge - Yoro Yoga Top
Regular price $49.00 USD
Regular priceUnit price per
Sale price
$49.00 USD"
23,https://drinkyoro.com/products/pineapple-ginger-surf-24pk-24-fl-oz-cans,"Surf carries you through the lulls of everyday routines so you can change the current instead of just treading water. Our refreshing Pineapple Ginger flavor provides the perfect blend of sweet and spice delivering an invigorating zing to your day-to-day.
One 24-pack of 12 fluid ounce cans
Sparkling Flavored Water with Pineapple Fruit Flavor
Only 15 calories per serving
1 gram of sugar per serving
Free of artificial sweeteners"
24,https://drinkyoro.com/products/recycled-yoro-tee,"Made from 100% recycled fabric that's never re-dyed, saving energy and water, while also reducing pollutants and carbon emissions. Be the wave.
Size guide
|S||M||L||XL||2XL|
|Length (inches)||28||29||30||31||32|
|Width (inches)||19||20 ½||22||23 ½||25|
|Sleeve length (inches)||17 ½||18 ¼||19||19 ¾||20 ½|
Yoro Recycled Tee
Regular price $25.00 USD
Regular priceUnit price per
Sale price
$25.00 USD"
